sample_id,run_id,mean_depth,coverage_breadth,ambiguous_base_percent,contamination_flag,qc_status,qc_failure_reason,reported_at
d200823a-1983-4498-bac6-869543c66ad4,RUN-20260508-EXAMPLE,79.44,93.18,0.64,false,pass,,2026-04-21T13:20:26.704971
7704ddb6-6373-40b1-94d5-08911923022a,RUN-20260508-EXAMPLE,59.69,93.3,1.34,false,pass,,2026-04-09T13:20:26.704971
a1d742c7-4628-41fd-843c-e9cd03cca7ae,RUN-20260508-EXAMPLE,69.17,96.13,2.35,false,pass,,2026-04-27T13:20:26.704971
e99f6210-0602-43e3-902f-90b0188626d5,RUN-20260508-EXAMPLE,101.63,94.58,0.19,false,pass,,2026-04-30T13:20:26.704971
512af4ab-2081-41c1-9096-7b5f85688ba0,RUN-20260508-EXAMPLE,67.68,99.88,0.47,false,pass,,2026-04-14T13:20:26.704971
f104b367-2762-49a7-99a3-ea0386dbe59c,RUN-20260508-EXAMPLE,115.28,97.69,0.41,false,pass,,2026-04-14T13:20:26.704971
a801720d-a518-46e0-8457-28cce6538956,RUN-20260508-EXAMPLE,100.53,96.72,2.2,false,pass,,2026-05-08T13:20:26.704971
38fe9eaf-0a9e-4198-a95c-904e286def06,RUN-20260508-EXAMPLE,92.1,99.53,0.55,false,fail,high_ambiguity,2026-04-08T13:20:26.704971
601ac1bb-b1f6-40aa-a665-e35af253866f,RUN-20260508-EXAMPLE,56.77,99.25,2.42,false,pass,,2026-05-01T13:20:26.704971
9d4d440e-0808-4b30-ae92-5d821c79aa2a,RUN-20260508-EXAMPLE,91.58,97.46,0.26,false,fail,low_depth,2026-05-01T13:20:26.704971
3ce06036-a2d0-4c10-af09-b01b73cca78c,RUN-20260508-EXAMPLE,107.59,94.15,1.41,false,pass,,2026-04-26T13:20:26.704971
65e90513-67a1-4b6a-ab1e-8844f6f6b4c0,RUN-20260508-EXAMPLE,82.46,98.16,0.25,false,pass,,2026-04-22T13:20:26.704971
9ac5e137-48d2-4860-9cc6-221a5afd8793,RUN-20260508-EXAMPLE,44.72,97.54,1.63,false,fail,high_ambiguity,2026-05-02T13:20:26.704971
c92a1909-60d5-4417-a988-d446eb1c4eb3,RUN-20260508-EXAMPLE,55.48,94.83,2.62,false,fail,low_depth,2026-04-27T13:20:26.704971
983e8b8d-05b9-47b1-a72f-f2495bd7daec,RUN-20260508-EXAMPLE,55.27,95.37,1.96,false,pass,,2026-04-22T13:20:26.704971
9b688038-9b44-4727-96d1-ecbd083574a1,RUN-20260508-EXAMPLE,115.49,97.77,0.5,true,fail,high_ambiguity,2026-04-20T13:20:26.704971
a68aa9c1-1ff8-4318-b147-995d2e480652,RUN-20260508-EXAMPLE,57.41,94.12,2.26,false,pass,,2026-04-25T13:20:26.704971
d25cd914-1cdc-4870-b222-72e63950d53e,RUN-20260508-EXAMPLE,56.66,93.16,0.62,false,pass,,2026-04-11T13:20:26.704971
e554b8be-12d5-4585-8280-76428d0864bf,RUN-20260508-EXAMPLE,66.35,98.43,1.28,false,pass,,2026-05-05T13:20:26.704971
6649b44a-d099-4c57-bf39-71de07dd0283,RUN-20260508-EXAMPLE,73.37,99.55,2.59,false,pass,,2026-04-17T13:20:26.704971
65c6c13b-801d-496c-9775-2337c7754b09,RUN-20260508-EXAMPLE,88.47,95.08,1.58,true,pass,,2026-04-29T13:20:26.704971
4063f40a-28f0-4a7f-af48-980c56842729,RUN-20260508-EXAMPLE,92.44,97.27,0.35,false,pass,,2026-05-01T13:20:26.704971
0a79b8a8-195f-422f-955b-492f7390be0c,RUN-20260508-EXAMPLE,94.39,99.16,2.42,false,fail,high_ambiguity,2026-05-01T13:20:26.704971
b7f340e0-f48d-49e8-9bd6-e7bc36565268,RUN-20260508-EXAMPLE,111.1,97.23,2.04,false,pass,,2026-04-12T13:20:26.704971
675bdec9-1d36-4532-b3e3-b6144d2f9374,RUN-20260508-EXAMPLE,57.62,96.04,2.03,false,pass,,2026-04-28T13:20:26.704971
6b741246-6ce8-4c31-8a97-70d54503d98e,RUN-20260508-EXAMPLE,112.2,97.03,1.98,false,pass,,2026-04-14T13:20:26.704971
b7e88586-5a6c-429f-b725-ebd87f528f38,RUN-20260508-EXAMPLE,77.82,95.68,1.91,false,pass,,2026-04-15T13:20:26.704971
b555c720-039a-4e21-b751-401d62efeafd,RUN-20260508-EXAMPLE,64.84,96.14,1.01,false,pass,,2026-04-30T13:20:26.704971
3cbfc6df-2845-4530-8738-c0505aaab328,RUN-20260508-EXAMPLE,115.87,94.38,0.16,false,pass,,2026-05-04T13:20:26.704971
53bc259e-b034-438a-a34b-e8b3976d5694,RUN-20260508-EXAMPLE,85.22,99.27,1.11,false,pass,,2026-05-02T13:20:26.704971
dc0af5f7-9133-4406-a03a-6fe34dfde425,RUN-20260508-EXAMPLE,39.04,95.9,1.42,false,pass,,2026-04-27T13:20:26.704971
a7bf604b-7506-40ba-86ec-6f250c981711,RUN-20260508-EXAMPLE,58.13,99.45,0.85,false,pass,,2026-04-14T13:20:26.704971
58d5837d-1713-4c17-b542-4c4be8b2e2f8,RUN-20260508-EXAMPLE,38.83,99.54,0.33,false,pass,,2026-04-23T13:20:26.704971
c8c26e68-2e8b-49c3-948f-ecfd5f938bc7,RUN-20260508-EXAMPLE,99.17,95.28,2.0,false,pass,,2026-04-30T13:20:26.704971
90358d46-1a3a-4ac1-9c77-57c59e9764b1,RUN-20260508-EXAMPLE,53.92,94.57,0.58,true,fail,low_depth,2026-04-30T13:20:26.704971
